education, precision, recall, f_1
10th, 0.9513064133016627, 0.9196326061997704, 0.9352014010507881
11th, 0.9726277372262774, 0.9560538116591928, 0.9642695612844867
12th, 0.9455445544554455, 0.955, 0.9502487562189055
1st-4th, 0.9914529914529915, 0.7160493827160493, 0.8315412186379928
5th-6th, 0.9781659388646288, 0.7066246056782335, 0.8205128205128205
7th-8th, 0.967948717948718, 0.7475247524752475, 0.8435754189944135
9th, 0.9659090909090909, 0.8726899383983573, 0.9169363538295577
Assoc-acdm, 0.8058455114822547, 0.9625935162094763, 0.8772727272727272
Assoc-voc, 0.797649034424853, 0.930460333006856, 0.8589511754068716
Bachelors, 0.6924927815206929, 0.9183152520740268, 0.7895747599451303
Doctorate, 0.328719723183391, 0.8878504672897196, 0.47979797979797983
HS-grad, 0.8742403955093212, 0.961704056197598, 0.9158888589155652
Masters, 0.5513725490196079, 0.9201570680628273, 0.689553702795488
Preschool, 1.0, 0.7450980392156863, 0.8539325842696629
Prof-school, 0.39325842696629215, 0.9150326797385621, 0.550098231827112
Some-college, 0.8537394451145959, 0.9590108401084011, 0.9033184428844926
